Index,Weight_kg,Height_cm
1,51.252494060000004,167.0896074
2,61.9095473816,181.6486334
3,69.41177762480001,176.2727996
4,64.5621987568,173.270164
5,65.4520101832,172.18103739999998
6,55.9289822208,174.4925136
7,64.1808639624,177.29718160000002
8,61.8982075816,177.83738879999999
9,50.971176301599996,172.47273099999998
10,54.733676582399994,169.6271944
11,57.811026147199996,168.8787326
12,51.774351656,171.7632582
13,56.976008634399996,173.4882992
14,55.5476927856,170.47606240000002
15,52.6559530672,173.4303618
16,63.50174602,180.572664
17,58.741207261599996,168.81094
18,64.8515450936,174.3691458
19,62.55147078,180.9250382
20,56.265774280799995,170.5131972
21,64.0837952744,172.29782659999998
22,65.1082328064,174.9521774
23,44.40752316072,161.242121
24,58.7413886984,173.79154979999998
25,64.3420705592,171.7752216
26,58.8419500448,170.7099456
27,64.602160212,179.939569
28,59.67011831839999,171.43562359999999
29,49.1387099808,168.99638539999998
30,51.6605907824,166.2200892
31,46.856779347199996,176.58918200000002
32,54.7728669312,167.165528
33,57.0567026512,172.253402
34,61.78943622,179.311427
35,63.548919588,182.3842936
36,58.39938033040001,175.7835702
37,64.3190734448,169.6813472
38,54.9898199848,171.8536822
39,59.5783112976,172.2298054
40,48.403482708,162.675189
41,56.4086104016,174.1795602
42,56.6350888872,165.56626780000002
43,63.3536935912,176.9316756
44,62.3097516032,172.6369674
45,48.2848230408,167.5914352
46,58.4062749288,174.4281246
47,66.08096085039999,169.8774352
48,52.988163848,171.95464719999998
49,65.145563428,177.3457718
50,61.20430254,175.48395180000003
51,66.6879576648,177.58356659999998
52,57.301596972,171.02282279999997
53,56.918493168800005,178.4842506
54,52.484404572799995,175.52273760000003
55,56.0137132064,166.0742424
56,67.0829002192,178.2685538
57,70.7144031304,178.8316718
58,58.093432526399994,169.0211504
59,54.1453223992,168.56501720000003
60,60.6973227616,171.54398
61,58.39203213999999,168.9206172
62,62.3894477176,175.2589332
63,58.858279356800004,173.491017
64,58.433535808,170.21187700000002
65,61.378481867999994,179.8470368
66,49.7188087896,173.2775554
67,64.6225264928,175.4102156
68,60.213884408,172.0368162
69,46.95924578,170.7278272
70,56.5764848008,171.1137802
71,58.6556598104,165.7866382
72,60.78926586000001,179.94066120000002
73,63.68291066479999,177.6080268
74,46.6451786792,163.28410319999998
75,58.2962788688,173.342808
76,54.5667093672,168.5469832
77,62.8694841312,173.641385
78,60.3084129808,166.311326
79,52.4458038936,177.0874538
80,55.575906208,172.0228716
81,61.0650044368,174.3441014
82,55.2922297712,169.631487
